Disease Node,Gene Node,Dot Product
MONDO:0018076,1420,2.1234431
MONDO:0018076,6198,2.1220393
MONDO:0018076,1174,2.1210136
MONDO:0018076,12,2.1192584
MONDO:0018076,7365,2.1179454
MONDO:0018076,1302,2.1168106
MONDO:0018076,2673,2.115948
MONDO:0018076,7373,2.1151526
MONDO:0018076,6578,2.1125546
MONDO:0018076,2529,2.109337
MONDO:0018076,1317,2.10637
MONDO:0018076,1482,2.1049314
MONDO:0018076,94,2.09559
MONDO:0018076,277,2.0927489
MONDO:0018076,5860,2.0905857
MONDO:0018076,8822,2.0888183
MONDO:0018076,7818,2.084253
MONDO:0018076,8243,2.0720003
MONDO:0018076,5228,2.0692036
MONDO:0018076,1056,2.0642633
MONDO:0018076,5224,2.0524716
MONDO:0018076,8973,2.0516365
MONDO:0018076,9094,2.0514128
MONDO:0018076,3822,2.0489533
MONDO:0018076,7378,2.0471442
MONDO:0018076,2572,2.0421364
MONDO:0018076,896,2.0349774
MONDO:0018076,5178,2.0348604
MONDO:0018076,2779,2.0337667
MONDO:0018076,3134,2.0323465
MONDO:0018076,3111,2.0321429
MONDO:0018076,4118,2.0317829
MONDO:0018076,526,2.0315719
MONDO:0018076,10200,2.0315714
MONDO:0018076,926,2.0293794
MONDO:0018076,6985,2.0292892
MONDO:0018076,3605,2.0128546
MONDO:0018076,3082,2.009617
MONDO:0018076,682,2.009538
MONDO:0018076,1303,2.009471
MONDO:0018076,6542,2.0061562
MONDO:0018076,4924,2.0058968
MONDO:0018076,1755,2.000372
MONDO:0018076,2011,1.9993112
MONDO:0018076,3912,1.9944904
MONDO:0018076,4923,1.9900792
MONDO:0018076,7390,1.9880644
MONDO:0018076,760,1.9878268
MONDO:0018076,2650,1.9872413
MONDO:0018076,7479,1.9860201
MONDO:0018076,5533,1.9841177
MONDO:0018076,7062,1.9797004
MONDO:0018076,7681,1.9771514
MONDO:0018076,554,1.9742296
MONDO:0018076,6999,1.967406
MONDO:0018076,4638,1.9673703
MONDO:0018076,3563,1.9663029
MONDO:0018076,3454,1.9651458
MONDO:0018076,8988,1.9640807
MONDO:0018076,6602,1.9636552
MONDO:0018076,640,1.9636276
MONDO:0018076,2773,1.9615902
MONDO:0018076,4162,1.9554967
MONDO:0018076,2247,1.9548221
MONDO:0018076,7827,1.9543155
MONDO:0018076,2771,1.9412938
MONDO:0018076,4916,1.9405446
MONDO:0018076,3315,1.9398905
MONDO:0018076,7188,1.9373821
MONDO:0018076,3749,1.9361032
MONDO:0018076,644,1.9324214
MONDO:0018076,832,1.931185
MONDO:0018076,7703,1.931042
